log_level_desc,log_level,error_code,event_desc
alert,1,101001,(Primary) Failover cable OK. 
alert,1,101002,(Primary) Bad failover cable. 
alert,1,101003,(Primary) Failover cable not connected (this unit). 
alert,1,101004,(Primary) Failover cable not connected (other unit). 
alert,1,101005,(Primary) Error reading failover cable status.
alert,1,102001,(Primary) Power failure/System reload other side. 
alert,1,103001,(Primary) No response from other firewall (reason code = code). 
alert,1,103002,(Primary) Other firewall network interface interface_number OK. 
alert,1,103003,(Primary) Other firewall network interface interface_number failed. 
alert,1,103004,(Primary) Other firewall reports this firewall failed. 
alert,1,103005,(Primary) Other firewall reporting failure. 
alert,1,104001,(Primary) Switching to ACTIVE (cause: string).
alert,1,104002,(Primary) Switching to STNDBY (cause: string). 
alert,1,104003,(Primary) Switching to FAILED. 
alert,1,104004,(Primary) Switching to OK. 
alert,1,105001,(Primary) Disabling failover.
alert,1,105002,(Primary) Enabling failover.
alert,1,105003,(Primary) Monitoring on interface interface_name waiting
alert,1,105004,(Primary) Monitoring on interface interface_name normal
alert,1,105005,(Primary) Lost Failover communications with mate on interface interface_name.
alert,1,105006,(Primary) Link status Up oninterface interface_name.
alert,1,105007,(Primary) Link status Down on interface interface_name.
alert,1,105008,(Primary) Testing interface interface_name.
alert,1,105009,(Primary) Testing on interface interface_name {Passed|Failed}.
alert,1,105011,(Primary) Failover cable communication failure
alert,1,105020,(Primary) Incomplete/slow config replication
alert,1,105021,(failover_unit) Standby unit failed to sync due to a locked context_name config. Lock held by lock_owner_name
alert,1,105031,Failover LAN interface is up
alert,1,105032,LAN Failover interface is down
alert,1,105034,Receive a LAN_FAILOVER_UP message from peer.
alert,1,105035,Receive a LAN failover interface down msg from peer.
alert,1,105036,dropped a LAN Failover command message.
alert,1,105037,The primary and standby units are switching back and forth as the active unit.
alert,1,105038,(Primary) Interface count mismatch
alert,1,105039,(Primary) Unable to verify the Interface count with mate. Failover may be disabled in mate.
alert,1,105040,(Primary) Mate failover version is not compatible.
alert,1,105042,(Primary) Failover interface OK
alert,1,105043,(Primary) Failover interface failed
alert,1,105044,(Primary) Mate operational mode mode is not compatible with my mode mode.
alert,1,105045,(Primary) Mate license (number contexts) is not compatible with my license (number contexts).
alert,1,105046,(Primary|Secondary) Mate has a different chassis 
alert,1,105047,Mate has a io_card_name1 card in slot slot_number which is different from myio_card_name2
alert,1,105048,(unit) Mate’s service module (application) is different from mine (application)
alert,1,106021,Deny protocol reverse path check from source_address to dest_address on interface interface_name
alert,1,106022,Deny protocol connection spoof from source_address to dest_address on interface interface_name
alert,1,106101,",he number of ACL log deny-flows has reached limit (number). "
alert,1,107001,"RIP auth failed from IP_address: version=number, type=string, mode=string, sequence=number on interface interface_name"
alert,1,107002,RIP pkt failed from IP_address: version=number on interface interface_name
alert,1,111111,error_message
alert,1,114001,Failed to initialize 4GE SSM I/O card (error error_string).
alert,1,114002,Failed to initialize SFP in 4GE SSM I/O card (error error_string).
alert,1,114003,Failed to run cached commands in 4GE SSM I/O card (error error_string).
